,1_times_lag8,2_times_lag8,test_value
0,2583.617996084595,2579.8742760299683,2570.4221
1,2579.8563536926267,2579.8614529891966,2559.637
2,2565.6717046852114,2565.7900623435976,2596.0056
3,2597.1348169094085,2598.2901101356506,2610.5094
4,2605.5560027259826,2608.2391089099883,2579.7041
5,2585.5472940078735,2584.6373904815673,2581.0041
6,2588.927430307007,2587.7602950683595,2591.6935
7,2591.1719341454505,2593.60982938385,2601.7234
8,2617.3945864471434,2612.6029318603514,2596.9767
9,2618.2917329589845,2616.1628991882326,2594.2536
10,2610.7412136779785,2607.9558771835327,2575.5756
11,2586.082002015686,2586.241678567505,2584.5724
12,2585.3535633348465,2586.417736794853,2618.2323
13,2623.889791207123,2623.389652924347,2653.8959999999997
14,2651.707449050903,2653.599693926334,2671.8937
15,2662.2418216430665,2666.9570263587952,2721.0683
16,2734.1704242141723,2730.8221900375365,2719.6999
17,2718.6865361618043,2722.7972477363587,2682.385
18,2679.124943981171,2676.2871549224856,2754.3566
19,2763.0766565338135,2760.2814995780946,2755.6459
20,2758.015723694229,2760.9382607826233,2761.2189
21,2771.7905104507445,2770.762186323547,2751.8012
22,2755.0436147129058,2755.9681254302977,2804.2262
23,2813.61957348938,2817.5573586380006,2961.2834
24,2976.3720821746824,2977.7375854858396,2941.5163
25,2942.0718584430692,2940.201462067413,2953.8242
26,2944.6237223999024,2944.249698008728,2940.9538
27,2946.764842308807,2952.973060406494,2994.005
28,3008.178758506775,3016.7445992279054,3027.5755
29,3052.650647628784,3052.2343649749755,3054.2466
30,3070.441880075073,3068.910240022278,3102.0991
31,3124.683660394287,3122.3722590270995,3106.4179
32,3111.2122754196166,3116.6324433425902,2969.8614
33,2974.821985594177,2972.0496462501524,3026.9925
34,3052.570344619751,3057.6545597839354,3060.3073
35,3088.4597772644042,3088.5002454803466,3026.9513
36,3060.071386669922,3058.434004162598,2990.685
37,2999.0845151519775,2998.321776447296,3021.7512
38,3020.987755814743,3020.9720029031755,3096.4176
39,3093.095968330002,3084.216445291138,3090.975
40,3088.9514556884765,3088.3108149528503,3090.6403
41,3098.477253163147,3097.549687588501,3101.455
42,3111.7709732818603,3121.6445999908447,3104.1487
43,3104.21389253552,3111.4301922332766,3043.0313
44,3051.7595962799073,3048.362315110016,2997.0954
45,3009.323731565857,3000.3563477043153,3022.7196
46,3043.330771722412,3046.510407723999,2994.9434
47,3002.2436586364747,3000.424037073517,3090.758
48,3108.2651220397947,3105.0618511276243,3170.361
49,3174.937015949249,3177.4294690475463,3176.8227
