,1_times_lag10,2_times_lag10,test_value
0,2579.817435133362,2580.466494429016,2570.4221
1,2579.554778031921,2580.8323420806882,2559.637
2,2566.88282195282,2568.0610283966066,2596.0056
3,2596.9992873316764,2597.5871831422805,2610.5094
4,2609.999001254463,2608.8201583522796,2579.7041
5,2584.852553235626,2584.5385407081603,2581.0041
6,2587.640821611023,2585.9257012954713,2591.6935
7,2589.803488451004,2589.2580835399626,2601.7234
8,2617.330761793518,2613.7107638153075,2596.9767
9,2618.2295095245363,2615.560529879761,2594.2536
10,2610.8048161254883,2609.0201433883667,2575.5756
11,2587.2116139846803,2584.8673461395265,2584.5724
12,2586.2982265018463,2586.619918491745,2618.2323
13,2623.610998348999,2626.041797356415,2653.8959999999997
14,2651.437656732559,2657.336286159515,2671.8937
15,2666.865909453583,2667.7100623809815,2721.0683
16,2728.8615295799254,2731.989919415283,2719.6999
17,2716.8560608314515,2718.9221942113877,2682.385
18,2682.739512691498,2683.419052848816,2754.3566
19,2762.4879247680665,2759.2186071411134,2755.6459
20,2756.175479401016,2760.4366586097717,2761.2189
21,2775.0177815307616,2768.8401739944456,2751.8012
22,2755.549318162155,2757.458710757446,2804.2262
23,2816.1155156051636,2815.2477015411378,2961.2834
24,2977.1017832168577,2977.8984226593016,2941.5163
25,2941.7165388238905,2944.3782716167448,2953.8242
26,2940.8553193466187,2943.4825738327027,2940.9538
27,2951.632976330566,2951.72075728302,2994.005
28,3015.092100982666,3011.793009643555,3027.5755
29,3049.9557394866943,3053.012782562256,3054.2466
30,3071.624243585205,3069.2304552474975,3102.0991
31,3127.3785132232665,3125.485616571045,3106.4179
32,3111.1874665359496,3114.670965109253,2969.8614
33,2974.1728652633665,2979.145803800964,3026.9925
34,3051.2597328948973,3054.985326461792,3060.3073
35,3085.1245454833984,3088.1261247680663,3026.9513
36,3059.3424476135256,3061.4230712402345,2990.685
37,2992.6263989782333,2997.048540172577,3021.7512
38,3019.304490605545,3024.393921652985,3096.4176
39,3087.881265008545,3086.5524018646242,3090.975
40,3094.552014684677,3088.759043073654,3090.6403
41,3099.897780621338,3103.474820339966,3101.455
42,3118.318224029541,3117.309272842407,3104.1487
43,3109.472689391327,3108.178617240143,3043.0313
44,3053.878651074219,3053.032596043396,2997.0954
45,3006.7333108428957,3003.0095364097597,3022.7196
46,3043.63699654541,3044.1069081207274,2994.9434
47,3001.6318784698487,2998.9904056533815,3090.758
48,3105.1403528289793,3107.6437498168943,3170.361
49,3176.161711631775,3179.971201835632,3176.8227
