,1_times_lag6,2_times_lag6,test_value
0,2683.2680492019654,2678.5182489967347,2632.9
1,2646.2335733413697,2645.6925624847413,2638.7
2,2631.4414216995237,2633.0762736320494,2642.33
3,2630.5100022125243,2628.9017887878417,2664.76
4,2678.199534187317,2678.0687129592898,2643.85
5,2634.5615631103515,2631.518207168579,2640.0
6,2640.251306295395,2637.8243849277496,2681.05
7,2691.150937843323,2691.568798828125,2704.1
8,2706.2584877967834,2708.82031211853,2706.53
9,2697.1701014328005,2698.4899008560183,2724.87
10,2731.345131511688,2731.020587081909,2737.7
11,2748.0400144577025,2746.483710479736,2731.61
12,2743.8014710998536,2742.596695289612,2706.05
13,2715.225114631653,2713.2647898674013,2707.88
14,2713.289520149231,2716.7497175979615,2709.8
15,2717.2589433670046,2716.2312200546266,2744.73
16,2747.883249025345,2747.097252588272,2753.03
17,2747.8954470443728,2743.9851124572756,2745.73
18,2738.267299156189,2737.4631380844116,2775.6
19,2776.394152021408,2774.7732971668242,2779.76
20,2784.7651460266115,2784.3252956962588,2784.7
21,2792.6882841110228,2791.7245885848997,2774.88
22,2770.508218650818,2775.294013594389,2792.67
23,2802.147108001709,2801.4147805404664,2796.11
24,2801.8843668556215,2804.341348991394,2793.9
25,2791.172027015686,2788.8488258361817,2792.38
26,2773.789231185913,2776.934629325867,2784.49
27,2787.9131483936308,2788.6285560035703,2803.69
28,2807.50698179245,2807.9775056266785,2792.81
29,2791.274047193527,2788.7226257896423,2789.65
30,2789.6384518906475,2788.7689275979997,2771.45
31,2773.5818156719206,2772.4559931278227,2748.93
32,2760.231336288452,2760.848229103088,2743.07
33,2746.3837431144716,2746.3772521686556,2783.3
34,2786.754303264618,2789.9384415626528,2791.52
35,2788.955720205307,2790.986973364353,2810.92
36,2810.1944103074075,2811.05272087276,2808.48
37,2803.0279130744934,2801.0921559143067,2822.48
38,2817.653749446869,2818.5254041957855,2832.94
39,2840.1267265701294,2839.587623062134,2832.57
40,2837.0021756362917,2837.1915653419496,2824.23
41,2827.2966868686676,2824.824814300537,2854.88
42,2858.068765048981,2861.3762577819825,2800.71
43,2805.687331638336,2805.5419058418274,2798.36
44,2798.5071716165544,2799.9028153276445,2818.46
45,2826.993371925354,2826.411294898987,2805.37
46,2813.8714333724974,2812.7554036331176,2815.44
47,2812.2753865146638,2814.8262649798394,2834.4
48,2825.2357782363893,2827.4568861961366,2867.19
49,2856.7999395751954,2857.2345499420167,2867.24
