,1_times_lag7,2_times_lag7,test_value
0,2680.6930350875855,2681.352578125,2632.9
1,2645.720722579956,2643.90385761261,2638.7
2,2630.968956661224,2627.813477706909,2642.33
3,2630.369440155029,2633.4202519226073,2664.76
4,2678.9297502136233,2678.501607666016,2643.85
5,2633.4471851348876,2632.169752693176,2640.0
6,2638.953801751137,2641.994611620903,2681.05
7,2695.46876411438,2692.263927268982,2704.1
8,2707.7874825954436,2704.37097800374,2706.53
9,2697.689912109375,2695.7590048599245,2724.87
10,2730.875392074585,2728.255205030441,2737.7
11,2745.7371875762938,2748.30875415802,2731.61
12,2740.6772626495363,2743.5198052978517,2706.05
13,2714.0190308570864,2715.223746109009,2707.88
14,2717.608196144104,2716.0364054489137,2709.8
15,2717.1674535751345,2718.3796508789064,2744.73
16,2748.6358775901795,2748.481676797867,2753.03
17,2746.387966423035,2746.934805660248,2745.73
18,2734.035733680725,2731.688637237549,2775.6
19,2776.673311805725,2776.074537551403,2779.76
20,2785.9916002845766,2783.775449047089,2784.7
21,2792.8694231033323,2792.3605477333067,2774.88
22,2775.676541810036,2778.5359298038484,2792.67
23,2800.5821894836427,2802.170722885132,2796.11
24,2805.1248267745973,2806.443028793335,2793.9
25,2789.562096977234,2788.8728503227235,2792.38
26,2774.4604805755616,2773.022417907715,2784.49
27,2788.4050454998014,2788.564635982513,2803.69
28,2809.410739364624,2809.3944649124146,2792.81
29,2791.631056485176,2787.5258665657043,2789.65
30,2790.0143560111524,2790.1776144742967,2771.45
31,2771.7949997901915,2772.7777773857115,2748.93
32,2759.980582885742,2761.337640457153,2743.07
33,2745.1845243644716,2746.30055768013,2783.3
34,2790.992964553833,2790.840499687195,2791.52
35,2787.973596353531,2787.236368675232,2810.92
36,2809.2733663749696,2812.3921578359605,2808.48
37,2800.4190544891358,2803.5571293640137,2822.48
38,2817.579320411682,2817.622150402069,2832.94
39,2841.2508644485474,2841.499473991394,2832.57
40,2836.9418810081484,2836.0681825351717,2824.23
41,2828.4629230308533,2825.4378441381455,2854.88
42,2860.4125922966005,2859.132928733826,2800.71
43,2805.0361246681214,2805.4045180892945,2798.36
44,2797.680571899414,2800.573322877884,2818.46
45,2826.7723331069947,2827.0763358688355,2805.37
46,2812.546725387573,2812.8407102775573,2815.44
47,2815.443795844503,2813.706240477562,2834.4
48,2825.2338146209718,2825.6643032073976,2867.19
49,2853.0247578048707,2858.71760887146,2867.24
