,1_times_lag6,2_times_lag6,3_times_lag6,4_times_lag6,5_times_lag6,6_times_lag6,7_times_lag6,8_times_lag6,9_times_lag6,10_times_lag6,11_times_lag6,12_times_lag6,13_times_lag6,14_times_lag6,15_times_lag6,16_times_lag6,17_times_lag6,18_times_lag6,19_times_lag6,20_times_lag6,test_value
0,2828.4273407173155,2829.5107998561857,2828.662227363586,2830.954757184982,2831.2937471580503,2832.307442755699,2830.4496810150144,2829.464557380676,2832.0938417625425,2831.2255314302442,2830.0943753433226,2830.720289916992,2832.2259448480604,2831.7479607772825,2830.4650380325315,2829.3579356384275,2831.828965873718,2828.974144668579,2832.7453597944973,2829.821925373077,2839.13
1,2841.445870523453,2839.5121004629136,2843.0890210914613,2840.129812602997,2842.9396594810487,2842.7698057937623,2842.279361371994,2841.8700147914888,2843.1261009025575,2841.83241522789,2841.271484975815,2841.229229812622,2841.408946876526,2842.157425289154,2840.5896658945085,2841.7793933200837,2840.0502805757524,2839.220817511082,2842.3113526153566,2842.4419277954103,2837.54
2,2849.3761177444458,2852.775053062439,2851.809500732422,2850.179147758484,2854.1418466949463,2851.9771194839477,2851.4898119354248,2851.6535358810424,2853.9398107910156,2852.1701040649414,2849.9338579559326,2850.726918258667,2853.0917511367797,2852.1044273757934,2850.68817237854,2852.121382751465,2851.9694357299804,2851.084500350952,2854.824433364868,2853.088222541809,2839.25
3,2854.388605117798,2854.293706893921,2854.7216939926147,2855.371253967285,2857.1861896514893,2857.074960708618,2855.166341781616,2855.346529006958,2855.8726024627686,2856.3248195648193,2854.378544807434,2851.4320945739746,2857.301649093628,2854.9705286026,2853.645577430725,2854.423559188843,2855.2612266540527,2853.1355743408203,2856.929344177246,2853.682903289795,2872.87
4,2865.225423927307,2867.581302280426,2866.8970981788634,2867.157146091461,2866.529035682678,2868.4405790519713,2867.343650932312,2867.0138345909118,2868.4330207061766,2867.6239539337157,2865.5845266532897,2864.7771950912474,2867.2259350967406,2869.853613729477,2866.6197811317443,2865.7020865631102,2867.0795623016356,2866.2658501815795,2869.499166841507,2866.2456375312804,2853.53
5,2852.63848236084,2856.1653743076326,2856.449540882111,2852.9727537918093,2854.7285626220705,2853.2160940456392,2856.9567683029177,2854.4385431694986,2855.684573917389,2853.5379174973073,2851.60942545414,2852.664475052357,2853.3252085882427,2854.9834330368044,2855.2900272893908,2856.1143694210054,2854.1925748276713,2852.2586434173586,2854.700660376549,2852.234974770546,2822.43
6,2816.1609799194334,2821.563346915245,2820.8574064302443,2817.1025397109984,2823.479834012985,2815.707627944946,2825.4562131690977,2815.277945690155,2820.3204926776884,2816.5103327560423,2816.9116970825194,2818.342031173706,2820.2791213321684,2817.6807791519163,2819.2260324287413,2817.9491016197203,2813.502898864746,2817.396347694397,2816.555211238861,2819.19820898056,2823.81
7,2766.2276597595214,2764.136145172119,2763.9236054992675,2763.828295288086,2767.2729249572753,2768.7076402282714,2772.3167176818847,2767.2955766296386,2771.8648858642578,2768.722982940674,2768.0228448486328,2762.162054595947,2769.5349641418456,2765.109701690674,2764.818331298828,2764.9961991882324,2762.837702331543,2769.345041809082,2764.607409057617,2766.403402862549,2821.98
8,2727.2993588256836,2727.925999145508,2732.7459759521485,2724.7844815063477,2729.4997830200195,2728.3634915161133,2731.9529766845703,2730.2078060913086,2734.557049255371,2733.1470150756836,2732.7679180908203,2722.0455212402344,2726.4107708740235,2731.93263671875,2731.0398907470703,2727.441494445801,2725.186100463867,2731.1922955322266,2726.0138668823242,2730.6134228515625,2762.13
9,2702.8526753234864,2711.7030056762696,2707.2230671691896,2701.8099545288087,2709.0608166503907,2704.436365966797,2714.0686520385743,2704.999945526123,2708.934542541504,2704.352953796387,2710.3677395629884,2706.3481777954103,2706.8615979003907,2705.9270848083497,2707.982451324463,2712.2864254760743,2704.2766751098634,2704.2369641113282,2705.785014038086,2713.8329571533204,2648.94
10,2677.496148529053,2680.7055448913575,2675.0192655944825,2679.2522367858887,2683.615117492676,2676.661954345703,2682.6314558410645,2676.4625200653077,2676.1236528778077,2673.4541124725342,2684.910874786377,2686.5283712768555,2676.8779920959473,2672.542310180664,2676.0029920959473,2679.945651473999,2666.8891958618165,2674.8009676361085,2674.1155390167237,2686.6350187683106,2695.14
11,2639.3678099060057,2636.5146643066405,2634.3759886169432,2638.711319580078,2629.205673828125,2634.061878814697,2633.1408125305175,2634.429623260498,2633.917233123779,2629.7632833862303,2641.058930053711,2635.4772421264647,2639.9540182495116,2625.1636740112303,2629.673409118652,2628.0617834472655,2626.9049307250975,2635.553433074951,2633.027714385986,2637.2433782958983,2681.66
12,2631.204219970703,2630.7390519714354,2631.097561035156,2638.0039331054686,2623.740410003662,2636.629013214111,2632.7655946350096,2624.0038911437987,2631.756179962158,2629.5386392211913,2633.682651672363,2629.6313172912596,2632.85909286499,2634.752945098877,2629.2753755187987,2628.345977935791,2625.11051574707,2629.7667962646483,2629.3917543029784,2633.5216371154784,2581.0
13,2598.857152938843,2606.2226963043213,2600.463716506958,2607.3113536834717,2610.8142852783203,2604.8777179718018,2608.561700820923,2599.624803543091,2605.811611175537,2599.705862045288,2609.4131603240967,2611.4744911193848,2600.152563095093,2605.728490829468,2603.5428409576416,2601.63197517395,2600.0105381011963,2604.056089401245,2609.5674152374268,2612.885419845581,2619.55
14,2620.2369094371797,2622.4572620868685,2616.3191180706026,2620.6930974006655,2625.219507980347,2626.403147506714,2622.919236469269,2616.2611170291902,2627.756663131714,2624.1913311958315,2621.392926979065,2628.175930786133,2631.115534591675,2627.149590301514,2621.8820207595827,2617.639002132416,2622.7498064517977,2619.758844602108,2630.8490617752077,2624.878738689423,2656.0
15,2668.141671180725,2653.5977985858917,2659.651015520096,2661.895826816559,2659.284140110016,2667.771270751953,2658.2053399086,2659.9376888275146,2667.042067527771,2663.369659423828,2661.695668697357,2654.628358244896,2668.4077939987183,2661.7080574035645,2661.4568586349487,2661.115087032318,2657.669090151787,2657.127640724182,2662.2282876968384,2663.205382823944,2662.94
16,2682.4687704467774,2695.0895780944825,2690.7230810546876,2693.9428553009034,2693.057364883423,2691.293693008423,2698.778031768799,2685.2577394866944,2690.3022703552247,2689.96547454834,2689.846560897827,2693.028508605957,2687.4225325012208,2693.445479812622,2686.4759840393067,2691.2916178131104,2688.5713724517823,2696.2080435180665,2694.1187929534913,2699.6923078918458,2698.63
17,2694.482457523346,2697.2233616161348,2697.052612309456,2702.741435890198,2701.412713890076,2691.6963447380067,2702.8019813346864,2692.257892971039,2701.439758901596,2697.392922167778,2695.4242714691163,2692.187637691498,2704.9436105537416,2699.886708741188,2697.8882927942277,2692.1877449798585,2698.034425919056,2699.046848599911,2702.737318401337,2697.444580798149,2731.2
18,2711.0281383514402,2700.003657531738,2707.6180126190184,2708.691079330444,2702.989154052734,2704.981639099121,2709.485139083862,2701.6301567077635,2712.30786819458,2703.6968166351317,2703.6405555725096,2696.3345748901365,2708.2289306640623,2701.650397491455,2705.1183864593504,2699.9650756835936,2699.11544342041,2703.700814437866,2704.587798309326,2701.8434688568113,2732.22
19,2706.4913260650633,2705.4393164825437,2709.946900100708,2700.48594543457,2706.7195288848875,2709.78339263916,2714.303229064941,2704.7648455810545,2712.624872894287,2711.97817489624,2705.963703842163,2703.6800753784178,2701.670355529785,2709.5602671813963,2708.4574515533445,2703.119785995483,2702.091353149414,2703.3370425415037,2709.534477920532,2703.134539337158,2716.26
20,2713.3978037929537,2716.828184256554,2713.834196815491,2707.7694652175906,2716.3429605758192,2716.0395529514553,2717.8381493186953,2711.370429286957,2720.825781593323,2717.1994893646242,2713.584374675751,2713.62310005188,2716.077438617349,2715.1141024923327,2713.2439086532595,2716.6577861702444,2711.305566558838,2712.1765854454043,2720.7194850540163,2717.456989655495,2701.33
21,2727.205980377197,2725.770372467041,2728.829038696289,2721.392469482422,2731.9138527679443,2728.015441970825,2728.162046508789,2721.416685180664,2730.9108868408202,2733.4229718017577,2728.122184829712,2726.159406738281,2730.4520893859863,2726.114683227539,2724.6965866851806,2730.9835663604736,2724.630796508789,2725.5874615478515,2730.6361084747314,2726.8960037994384,2703.96
22,2741.687024078369,2742.470284423828,2743.493535003662,2739.0621575927735,2744.1758432006836,2742.8612031555176,2746.50044342041,2737.139386138916,2744.280026397705,2745.012978515625,2740.2795152282715,2740.055863342285,2741.9881677246094,2741.096878967285,2738.000428161621,2745.418034515381,2739.8545121765137,2740.342411956787,2739.4421968078614,2740.0557832336426,2747.3
23,2760.694810676575,2762.3114040374758,2760.9362066268923,2762.774831581116,2757.6604459762575,2758.1408069610598,2764.027821350098,2756.7618520736696,2760.6622627258303,2758.778638648987,2756.880333709717,2757.4804904937746,2754.971944141388,2755.5982139587404,2755.347247886658,2757.133103179932,2757.2324035644533,2754.4380062103273,2755.5683725357057,2759.270602989197,2779.6
24,2759.254550552368,2762.0043083190917,2760.2826725006103,2764.0912996292113,2756.992560958862,2756.5323062896728,2761.151082611084,2757.199765777588,2762.00447807312,2755.30774269104,2759.9126678466796,2754.0204235076903,2754.2681060791015,2756.7646461486815,2758.870095825195,2755.718715286255,2753.29016456604,2755.095204925537,2754.592036819458,2754.270362472534,2744.28
25,2714.5440552520754,2714.820056228638,2717.250886230469,2716.9588768768313,2711.8938610839846,2710.009572296143,2717.233971862793,2714.1998474884035,2718.6004402923586,2710.3996594238283,2715.03625038147,2710.942536621094,2709.369336395264,2710.0234005737307,2712.6880867767336,2711.4588864135744,2705.902367858887,2709.057770996094,2710.853020935059,2707.7373974609377,2713.83
26,2689.166893081665,2684.670301513672,2687.9158917236327,2682.8716355133056,2681.379057006836,2683.454402999878,2687.0719395446777,2683.7745514678954,2687.24397857666,2682.0568085479736,2687.6067009735107,2685.0943604278564,2682.5340004730224,2681.232374267578,2683.446216659546,2683.4486428070068,2678.0083638000488,2678.5524044799804,2680.9545803833007,2684.3548737335204,2677.67
27,2701.5568885040284,2695.126132888794,2693.019500656128,2691.6793698501588,2689.1905450057984,2694.7392195892335,2695.0361823272706,2693.7211646270753,2695.471519393921,2696.026035232544,2696.9224967193604,2694.66019241333,2689.848807258606,2690.0390700531007,2695.0211753082276,2696.625379486084,2688.9878882598878,2688.082742614746,2692.903874320984,2699.312553329468,2691.25
28,2696.992618083954,2695.7490725517273,2692.5961824655533,2695.048553943634,2692.977965593338,2692.647722005844,2693.3692989349365,2692.0861763358116,2698.419087409973,2692.17102766037,2700.7242097854614,2698.105401992798,2692.184245944023,2687.713590145111,2692.1177982091904,2691.467180520296,2689.032683610916,2691.0726041197777,2695.856803894043,2700.4435234069824,2720.94
29,2713.977037372589,2715.2713279151917,2709.783722343445,2718.5446857833863,2711.4538216018677,2713.2648376846314,2715.6786894226075,2711.2010111236573,2716.628220024109,2710.1997789764405,2718.1786524677277,2713.7003540420533,2719.2100208425522,2708.7969889068604,2710.2689575576783,2709.916269721985,2713.2656058692933,2708.3142055892945,2716.777579727173,2716.396665992737,2728.12
30,2742.2642613601683,2739.5917388153075,2741.1328049850463,2744.0377589416503,2737.1713381958007,2741.540895576477,2739.267974014282,2737.4870873641967,2742.0941325378417,2736.0895777893065,2740.922086830139,2734.7523318481444,2740.1012297821044,2736.512530441284,2738.873910064697,2736.5597497177123,2739.960326309204,2735.8433695983886,2740.3757611465453,2742.477440948486,2726.8
31,2751.5743301391603,2751.067915725708,2753.3529708862307,2752.5837734222414,2753.1328456878664,2752.174979019165,2751.8438232421877,2750.9181049346926,2757.3835113525392,2752.817408370972,2752.683001327515,2752.0194328308107,2751.4089115142824,2753.049170303345,2752.11337928772,2748.562603759766,2752.8509414672853,2749.727984237671,2754.4255683898928,2753.469023513794,2738.97
32,2759.489887924194,2758.311478347778,2762.0638453674314,2761.211537094116,2764.4114386749266,2761.7530638885496,2762.2616240692137,2761.8079135131834,2765.4286486816404,2763.207142562866,2759.678309173584,2760.8918349456785,2761.9323775482176,2760.299608917236,2762.2586753082273,2759.7922675323484,2762.287974090576,2759.029194564819,2765.8881575775144,2764.791786880493,2786.57
33,2783.358823604584,2780.639326400757,2779.479398555756,2782.1885154914858,2782.857921667099,2785.289647407532,2784.005206651688,2782.7045660686495,2785.571483500004,2783.3878606033327,2782.538685626984,2783.0012331676485,2783.4642778110506,2781.2877948951723,2783.528724021912,2780.0159161758424,2783.3595958423616,2780.180553264618,2786.6444383484127,2786.209767318964,2783.02
34,2781.636039276123,2784.154793639183,2785.7220189762115,2782.5433124792576,2784.5038778972626,2781.364685316086,2786.242359418869,2783.5222416710853,2786.167481441498,2785.9259116840362,2784.561385769844,2784.81366338253,2784.868436355591,2784.031632800102,2783.6481611323356,2783.708963472843,2783.7128340792656,2782.15384950161,2788.200233001709,2784.9076217603683,2765.31
35,2779.941983757019,2781.7969480133056,2784.5071473693847,2781.678724822998,2784.384520111084,2776.3619199371337,2785.5213189697265,2779.152900276184,2783.5929780578613,2782.0312963104248,2780.689385948181,2781.689144668579,2783.5649953460693,2779.0396257019042,2782.369398651123,2780.1398807144164,2778.4278045272827,2778.758112487793,2780.287644920349,2781.8413663482665,2749.48
36,2760.672084312439,2761.482064704895,2762.0361208724976,2757.2867288398743,2759.273158531189,2756.8889999198914,2761.6419205474854,2757.3763923454285,2760.4616732406616,2759.750555496216,2758.043222885132,2757.2981805610657,2759.7498135375977,2755.456355075836,2757.5915522384644,2758.2733130264282,2756.5290922927857,2755.9057640838623,2756.2521824645996,2757.3800754356384,2747.33
37,2740.142050819397,2739.4047537612914,2741.017198638916,2735.8224430847167,2736.6965208816528,2739.2590323257446,2741.6076441574096,2737.945934371948,2741.002402381897,2739.2267247009277,2741.072784500122,2735.701848106384,2736.2707501220702,2736.5737648773193,2737.5725804138183,2737.3130379486083,2733.541694717407,2737.0136194992065,2735.2638388442992,2738.482404785156,2752.01
38,2725.856332550049,2728.6072042083742,2726.769616851807,2725.205302963257,2726.368306884766,2725.9507024383547,2728.6009805297854,2724.7138669586184,2728.0044915771487,2729.090360412598,2730.166915664673,2725.1494405364992,2726.530036697388,2724.297530899048,2727.205426940918,2727.0781457519533,2724.603324661255,2726.1296956634524,2727.026847610474,2726.508556137085,2712.92
39,2708.12632314682,2707.3749436569215,2706.962006969452,2708.477079792023,2708.0250548553468,2703.3271979522706,2710.685714645386,2705.799128456116,2708.2942599487305,2705.0556649398804,2709.243716402054,2706.570734424591,2705.915509147644,2703.121994895935,2706.471441669464,2708.7709917259217,2703.200969619751,2703.048695487976,2707.362131996155,2708.0907940101624,2716.94
