,1_times_lag8,2_times_lag8,test_percentage
0,13.273096,9.529376,0.0771999999997206
1,9.434254,9.439353,-10.785099999999602
2,6.0347047,6.1530623,36.36859999999979
3,1.1292169,2.2845101,14.503799999999956
4,-4.9533973,-2.270291,-30.80529999999999
5,5.843194,4.9332905,1.300000000000182
6,7.9233303,6.756195,10.68939999999975
7,-0.52156585,1.9163294,10.029899999999998
8,15.671186,10.879532,-4.7466999999996915
9,21.315033,19.1862,-2.7231000000001586
10,16.487614,13.702277,-18.677999999999884
11,10.506402,10.666079,8.996799999999894
12,0.78116333,1.8453368,33.65990000000011
13,5.657491,5.157353,35.66369999999961
14,-2.188551,-0.29630607,17.99770000000035
15,-9.651878,-4.9366736,49.17459999999983
16,13.102124,9.75389,-1.3683999999998377
17,-1.0133638,3.0973477,-37.31489999999985
18,-3.260056,-6.097845,71.97159999999985
19,8.720057,5.9248996,1.289299999999912
20,2.3698237,5.292361,5.572999999999865
21,10.57161,9.543286,-9.417699999999968
22,3.2424147,4.1669254,52.42500000000018
23,9.3933735,13.331159,157.05719999999974
24,15.088682,16.454185,-19.767100000000028
25,0.55555844,-1.3148379,12.307900000000245
26,-9.200478,-9.574502,-12.870400000000245
27,5.8110423,12.01926,53.051200000000335
28,14.1737585,22.7396,33.57049999999981
29,25.075148,24.658865,26.671100000000024
30,16.19528,14.66364,47.852499999999964
31,22.58456,20.273159,4.31880000000001
32,4.7943754,10.214543,-136.55650000000014
33,4.9605856,2.1882463,57.13110000000006
34,25.577845,30.66206,33.314800000000105
35,28.152477,28.192945,-33.35599999999977
36,33.120087,31.482704,-36.26630000000023
37,8.399515,7.6367764,31.066200000000208
38,-0.7634442,-0.7791971,74.66640000000007
39,-3.3216317,-12.201155,-5.442600000000311
40,-2.0235443,-2.664185,-0.3346999999998843
41,7.836953,6.9093876,10.814699999999903
42,10.315973,20.1896,2.6937000000002627
43,0.065192536,7.281492,-61.11740000000009
44,8.728296,5.331015,-45.93589999999995
45,12.228332,3.2609477,25.624199999999746
46,20.611172,23.790808,-27.77619999999979
47,7.3002586,5.480637,95.8145999999997
48,17.507122,14.303851,79.60300000000007
49,4.576016,7.068469,6.461700000000292
