,1_times_lag9,test_percentage
0,22.575527,47.852499999999964
1,20.572948,4.31880000000001
2,8.252638,-136.55650000000014
3,5.61626,57.13110000000006
4,19.567863,33.314800000000105
5,18.27951,-33.35599999999977
6,22.800018,-36.26630000000023
7,6.8786926,31.066200000000208
8,-0.30615467,74.66640000000007
9,-1.686267,-5.442600000000311
10,4.366464,-0.3346999999998843
11,9.520896,10.814699999999903
12,8.980951,2.6937000000002627
13,0.47743592,-61.11740000000009
14,7.6754055,-45.93589999999995
15,5.7106023,25.624199999999746
16,17.521954,-27.77619999999979
17,4.7136493,95.8145999999997
18,19.998295,79.60300000000007
19,-9.306716,6.461700000000292
