,1_times_lag9,2_times_lag9,test_percentage
0,24.177725,27.49294,47.852499999999964
1,47.402695,50.620087,4.31880000000001
2,6.919899,4.5638576,-136.55650000000014
3,-133.52127,-138.7168,57.13110000000006
4,57.143707,59.346027,33.314800000000105
5,29.523516,36.489414,-33.35599999999977
6,-31.33019,-33.788074,-36.26630000000023
7,-36.091175,-38.081993,31.066200000000208
8,29.707201,32.459724,74.66640000000007
9,72.8079,78.00969,-5.442600000000311
10,-7.019367,-5.063089,-0.3346999999998843
11,-0.7791117,-2.4627652,10.814699999999903
12,11.858307,11.324391,2.6937000000002627
13,2.5711892,2.7160518,-61.11740000000009
14,-61.3693,-62.118538,-45.93589999999995
15,-45.728794,-48.384007,25.624199999999746
16,24.767454,27.978445,-27.77619999999979
17,-26.21066,-27.708374,95.8145999999997
18,93.387215,100.363075,79.60300000000007
19,76.542885,84.23583,6.461700000000292
