,1_times_lag9,test_percentage
0,50.687557,47.852499999999964
1,33.20045,4.31880000000001
2,45.04254,-136.55650000000014
3,32.466534,57.13110000000006
4,30.523687,33.314800000000105
5,48.130238,-33.35599999999977
6,41.020264,-36.26630000000023
7,6.8094573,31.066200000000208
8,-15.773464,74.66640000000007
9,-13.309966,-5.442600000000311
10,-2.701354,-0.3346999999998843
11,28.285624,10.814699999999903
12,22.269453,2.6937000000002627
13,4.7203407,-61.11740000000009
14,6.1382923,-45.93589999999995
15,24.911964,25.624199999999746
16,16.734396,-27.77619999999979
17,22.640114,95.8145999999997
18,26.692093,79.60300000000007
19,-10.621408,6.461700000000292
