Date,Close
2019-4-2,3176.8227
2019-4-1,3170.361
2019-3-29,3090.758
2019-3-28,2994.9434
2019-3-27,3022.7196
2019-3-26,2997.0954
2019-3-25,3043.0313
2019-3-22,3104.1487
2019-3-21,3101.455
2019-3-20,3090.6403
2019-3-19,3090.975
2019-3-18,3096.4176
2019-3-15,3021.7512
2019-3-14,2990.685
2019-3-13,3026.9513
2019-3-12,3060.3073
2019-3-11,3026.9925
2019-3-8,2969.8614
2019-3-7,3106.4179
2019-3-6,3102.0991
2019-3-5,3054.2466
2019-3-4,3027.5755
2019-3-1,2994.005
2019-2-28,2940.9538
2019-2-27,2953.8242
2019-2-26,2941.5163
2019-2-25,2961.2834
2019-2-22,2804.2262
2019-2-21,2751.8012
2019-2-20,2761.2189
2019-2-19,2755.6459
2019-2-18,2754.3566
2019-2-15,2682.385
2019-2-14,2719.6999
2019-2-13,2721.0683
2019-2-12,2671.8937
2019-2-11,2653.896
2019-2-1,2618.2323
2019-1-31,2584.5724
2019-1-30,2575.5756
2019-1-29,2594.2536
2019-1-28,2596.9767
2019-1-25,2601.7234
2019-1-24,2591.6935
2019-1-23,2581.0041
2019-1-22,2579.7041
2019-1-21,2610.5094
2019-1-18,2596.0056
2019-1-17,2559.637
2019-1-16,2570.4221
2019-1-15,2570.3449
2019-1-14,2535.7653
2019-1-11,2553.8313
2019-1-10,2535.0985
2019-1-9,2544.3449
2019-1-8,2526.4622
2019-1-7,2533.0887
2019-1-4,2514.8682
2019-1-3,2464.3628
2019-1-2,2465.291
2018-12-28,2493.8962
2018-12-27,2483.0864
2018-12-26,2498.2939
2018-12-25,2504.819
2018-12-24,2527.0071
2018-12-21,2516.2506
2018-12-20,2536.2675
2018-12-19,2549.5634
2018-12-18,2576.6495
2018-12-17,2597.9737
2018-12-14,2593.7407
2018-12-13,2634.0491
2018-12-12,2602.1526
2018-12-11,2594.0881
2018-12-10,2584.5822
2018-12-7,2605.8876
2018-12-6,2605.1813
2018-12-5,2649.8051
2018-12-4,2665.9577
2018-12-3,2654.798
2018-11-30,2588.1875
2018-11-29,2567.4434
2018-11-28,2601.7365
2018-11-27,2574.6792
2018-11-26,2575.8101
2018-11-23,2579.4831
2018-11-22,2645.4339
2018-11-21,2651.5053
2018-11-20,2645.8545
2018-11-19,2703.5116
2018-11-16,2679.1097
2018-11-15,2668.1704
2018-11-14,2632.2425
2018-11-13,2654.8795
2018-11-12,2630.5195
2018-11-9,2598.8715
2018-11-8,2635.6322
2018-11-7,2641.342
2018-11-6,2659.3564
2018-11-5,2665.4306
2018-11-2,2676.4762
2018-11-1,2606.2372
2018-10-31,2602.7832
2018-10-30,2568.0481
2018-10-29,2542.1033
2018-10-26,2598.8468
2018-10-25,2603.7995
2018-10-24,2603.2951
2018-10-23,2594.8255
2018-10-22,2654.8762
2018-10-19,2550.4652
2018-10-18,2486.4186
2018-10-17,2561.614
2018-10-16,2546.3296
2018-10-15,2568.0984
2018-10-12,2606.9125
2018-10-11,2583.4575
2018-10-10,2725.8367
2018-10-9,2721.013
2018-10-8,2716.5104
2018-9-28,2821.3501
2018-9-27,2791.7748
2018-9-26,2806.8133
2018-9-25,2781.1385
2018-9-21,2797.4848
2018-9-20,2729.2438
2018-9-19,2730.8503
2018-9-18,2699.9501
2018-9-17,2651.7886
2018-9-14,2681.6431
2018-9-13,2686.5784
2018-9-12,2656.1101
2018-9-11,2664.7997
2018-9-10,2669.4845
2018-9-7,2702.3007
2018-9-6,2691.5929
2018-9-5,2704.3368
2018-9-4,2750.5804
2018-9-3,2720.7344
2018-8-31,2725.2499
2018-8-30,2737.7367
2018-8-29,2769.2947
2018-8-28,2777.9808
2018-8-27,2780.899
2018-8-24,2729.4308
2018-8-23,2724.6244
2018-8-22,2714.6082
2018-8-21,2733.8264
2018-8-20,2698.4658
2018-8-17,2668.966
2018-8-16,2705.1917
2018-8-15,2723.2576
2018-8-14,2780.9646
2018-8-13,2785.872
2018-8-10,2795.3099
2018-8-9,2794.3818
2018-8-8,2744.0696
2018-8-7,2779.374
2018-8-6,2705.1565
2018-8-3,2740.4429
2018-8-2,2768.0239
2018-8-1,2824.5337
2018-7-31,2876.4009
2018-7-30,2869.0495
2018-7-27,2873.5938
2018-7-26,2882.2254
2018-7-25,2903.6467
2018-7-24,2905.5618
2018-7-23,2859.5424
2018-7-20,2829.2712
2018-7-19,2772.5454
2018-7-18,2787.257
2018-7-17,2798.1259
2018-7-16,2814.0418
2018-7-13,2831.1837
2018-7-12,2837.6586
2018-7-11,2777.7711
2018-7-10,2827.6252
2018-7-9,2815.1095
2018-7-6,2747.2285
2018-7-5,2733.8819
2018-7-4,2759.126
