,restore_value
268,2817.800313590569
269,2596.518040497708
270,2697.842402487207
271,2846.958984049603
272,2663.7679342192405
273,2765.194786858895
274,3015.732877530428
275,3055.7204574690163
276,3027.0188565338376
277,3029.613708162395
278,2989.7941422087515
279,3014.0076193512737
280,2895.5870903465784
281,3028.645628792153
282,3340.211970342443
283,3139.088327476489
284,3008.1652415371723
285,2906.3354960340166
286,3152.067588094568
287,2922.509253307735
288,2867.9276573572843
289,3357.7087839897185
290,3249.0909628324857
291,2911.157682551322
292,3224.3948559761398
293,3170.374332882573
294,2997.719837345424
295,2944.534065488037
296,2882.5879488172695
297,3030.904938687246
298,2960.9744494948973
299,3125.6182260214605
