,data_pre_value
253,-29.788544931359077
254,56.04967063056477
255,88.67067444717556
256,-22.615537497308893
257,-91.55530958440411
258,89.96410531435818
259,-26.843902621334063
260,-74.0616830315059
261,126.77256966193826
262,5.091561810983576
263,-94.77819156324745
264,27.620010009558285
265,27.533001489615224
266,-20.21527770786449
267,92.44506925602872
268,135.41531359056881
269,-157.83855950229176
270,-57.80349751279313
271,85.74008404960307
272,-88.0332657807595
273,-39.031413141105105
274,54.449477530428155
275,114.20415746901668
276,73.19465653383762
277,88.65990816239558
278,-4.210857791248785
279,-13.567880648726284
280,-158.65950965342137
281,-73.45347120784723
282,233.79407034244295
283,169.22692747648944
284,-18.8272584628277
285,-153.97180396598344
286,125.11628809456775
287,-68.17574669226478
288,-153.82354264271575
289,261.29118398971815
290,158.1159628324859
291,-179.48261744867796
292,122.93985597614
293,66.22563288257282
294,-45.31146265457634
295,-52.561334511963146
296,-140.13165118273028
297,35.96153868724585
298,-129.78355050510254
299,-44.74277397853939
